OBJECTID,ZONING,SPECIAL,HOLD,BYLAWNO,DESCRIPT,LABEL,SHAPE_Length,SHAPE_Area,LASTUPDATE
1,A,,,,Agriculture,A,223.33978909979,2816.99617597751,2022/04/26 14:48:41+00
2,A,,,,Agriculture,A,318.426666603232,3566.04084529063,2022/04/26 14:48:41+00
3,A,,,,Agriculture,A,295.470791197565,2723.64825187147,2022/04/26 14:48:41+00
4,A,,,,Agriculture,A,462.567069242843,4861.10319082354,2022/04/26 14:48:41+00
5,A,,,,Agriculture,A,151.925394013564,1437.27491575273,2022/04/26 14:48:41+00
6,A,,,,Agriculture,A,110.728336145248,460.701101030317,2022/04/26 14:48:41+00
7,A,,,,Agriculture,A,353.380226491525,3952.85820059986,2022/04/26 14:48:41+00
8,A,,,,Agriculture,A,284.287261720415,2877.6565707008,2022/04/26 14:48:41+00
9,A,,,,Agriculture,A,259.53411512454,3767.17941248447,2022/04/26 14:48:41+00
10,A,,,,Agriculture,A,184.075732494272,922.852330878826,2024/07/29 11:44:07+00
11,A,,,,Agriculture,A,676.253295770941,6894.41258916578,2022/04/26 14:48:41+00
12,A,,,,Agriculture,A,185.861946351334,1896.01811973141,2022/04/26 14:48:41+00
13,A,,,,Agriculture,A,429.806201576161,11170.4354796725,2022/04/26 14:48:41+00
14,A,,,,Agriculture,A,1524.34739118611,55346.1959936117,2022/04/26 14:48:41+00
15,A,,,,Agriculture,A,223.90937313513,2025.60486929479,2022/04/26 14:48:41+00
16,A,,,,Agriculture,A,205.797732117603,2609.97422453568,2022/04/26 14:48:41+00
17,I,,,2004-202,Institutional,I,192.62410761745,714.891271008041,2022/10/28 14:44:11+00
18,A,,,,Agriculture,A,530.247320408991,10694.9412937547,2022/04/26 14:48:41+00
19,A,,,,Agriculture,A,569.424163819752,16297.8829032481,2022/04/26 14:48:41+00
20,A,,,,Agriculture,A,159.688757544225,1137.43696200535,2022/04/26 14:48:41+00
21,A,,,,Agriculture,A,365.837285049441,7587.98599952345,2022/04/26 14:48:41+00
22,A,,,,Agriculture,A,232.942890768237,3233.22670865309,2022/04/26 14:48:41+00
23,A,,,,Agriculture,A,381.098811335865,6231.82655544286,2022/04/26 14:48:41+00
24,BP,(SP-338),,2004-267,Business Park,BP (SP-338) ,634.633033242226,24440.1131485471,2022/04/26 14:48:41+00
25,BP,(SP-338),,2004-267,Business Park,BP (SP-338) ,1763.1520716147,194002.903304284,2022/04/26 14:48:41+00
26,BP,(SP-338),,2004-267,Business Park,BP (SP-338) ,1477.36456955187,71601.1220475611,2022/04/26 14:48:41+00
27,BP,(SP-338)(SWM),,2004-267,Business Park,BP (SWM) (SP-338),711.902436877334,31306.000608597,2022/04/26 14:48:41+00
28,BP,(SP-339),,2004-267,Business Park,BP (SP-339) ,1020.99193160198,60230.670878938,2022/04/26 14:48:41+00
29,BP,(SP-356),,2005-191,Business Park,BP (SP-356) ,316.512826319615,5130.7257688741,2022/04/26 14:48:41+00
30,BP,(SP-356),,2005-191,Business Park,BP (SP-356) ,370.990972426975,8266.3645435432,2022/04/26 14:48:41+00
31,BP,(SP-356),,2005-191,Business Park,BP (SP-356) ,245.302806277428,3746.25040370662,2022/04/26 14:48:41+00
32,BP,(SP-407),,2010-130 OMB DECISION PL050527,Business Park,BP (SP-407),1784.03409535884,128216.124608741,2023/02/01 11:09:53+00
33,BP,(SP-407),,2014-093,Business Park,BP (SP-407),604.482087285624,21986.3754444734,2023/02/01 11:09:43+00
34,BP,(SP-420),,2008-123,Business Park,BP (SP-420) ,845.136768412165,25042.015403235,2022/04/26 14:48:41+00
35,BP,(SP-420),,2003-190,Business Park,BP (SP-420) ,347.094492749747,7609.13937251956,2022/04/26 14:48:41+00
36,BP,(SP-420)(SP-421),,2008-123,Business Park,BP (SP-420)(SP-421) ,285.297985695001,5067.50583371853,2022/04/26 14:48:41+00
